ID,LV-ASOC1,LV-ASOC2,LV-ASOC3,LV-ASOC4,NYC-ASOC1,NYC-ASOC2,NYC-ASOC3,NYC-ASOC4,NSH-ASOC1,NSH-ASOC2,NSH-ASOC3,NSH-ASOC4,LA-ASOC1,LA-ASOC2,LA-ASOC3,LA-ASOC4,NO-ASOC1,NO-ASOC2,NO-ASOC3,NO-ASOC4
S11,sin city,fun,risky,illegal,big applie,busy,mean,expensive,country,music,soul,rock star,sporty,historical,sunny,superstar central,Big easy,southern,closeby,bourbon street
S12,busy,crowded,expensive,fun,crowded,expensive,diverse,interesting,smaller ,entertainment,fun,historic,expensive,unappealling,dirty,dysfunctional,dirty,fun,welcoming,appealing
S13,Win Big,Sin City,Gambling Mecca,Hot Desert,Hustle and Bustle,Big Apple,City that never sleeps,Concrete Jungle,Country Music Capital,God's Country,Nashvegas,Redneck's Broadway,City of Angels,Busy,overcrowded,expensive,Voodoo,French,Beignet Capital,swamp
S14,loud,flashy,fun,expensive,crowded,Big Apple,expensive,lively,loud,music-oriented,fun,lively,busy,stuffy,dry,overwhelming,humid,diverse,not too crowded,stinky
S15,casinos,rich,desert,crime,times square,busy,9 11 2025,NYE,music,bars,bbq,mountains,beach,hollywood,crime,rich,gumbo,street music,saints,katrina
S16,Exciting,Thrilling,Exhilarating,show stoping,very cold,busy,hustle + bustle,City of NY style pizza,Southern,Homey,Nashville Hot Chicken,Hot,Cityscape,very loud,hustle and bustle,vacation,Cafe du Monde,Princess + the frong,beignets,South
S17,Casinos,BlackJack,Hangover Movie,Big Hotels,Big Apple,Stock,Wall Street,Statue of Liberty,Bars,Country Music,Cowboy,Busy,Airport,Crowded,Food,Celebrities,Bourbon Street,Saints,Beignets,Daquiris
S18,crazy,lose,hot,dry hot,fast,melting pot,busy,crowded,country,party,slower,music,smelly,famous,icon,,smelly,hot,crazy,jazzy
S19,tons of people,partying,eating a lot of food,drinking,times square,pizza,tall buildings,too many people,Country Music Capital,food,broadway street,tons of bars,beach,famous people,food,sunshine,the football team saints,gumbo,homeless people,partying
S20,"large venue, live events",casinos,party culture,dangerous for me to go alone,sightseeing,crowded with people,celebrities,lively city that never sleeps,lots of bars,shopping outlets,concert event venue,country atmosphere,sightseeing familiar spots from movies,crowded and busy,popular airport,street food,"jazzy atmosphere, french",Saints games,creole food,mardi gras
S21,partying,gambling,the city that never sleeps,the place you go to lose all your money,concrete jungle,the hustle and Bustle,Big apple,crowded,country,music,cowboys cowgirls,drinking,shopping,celebrities,Big city,where you go to get famous,drinking,partying,forgetting what happened in the morning,Cajun food
S22,exciting,flashy,expensive,fun,big,busy,noisy,popular,music,country,music concerts,nightlife,big building,popular celebrities,sports teams,West Coast,Jazz music,baignets,The Saints,old style
S23,gambling,parties,Alcohol,lights,Parks,Tall buildings,Mafia,Waterways,Bars,Buildings,Parks,Hockey,palm trees,celebrities,Mansions,Hilly,Alcohol,Entertainment,Parks,Food
S24,busy,Casinos,wild,Celebrities,Statue of Liberty,Taxis,Times Square,5th Avenue,Concerts,Broadway,Country,Airport,Celebrities,Dodgers,Big,Busy,Bourbon Street,Mardi Gras,Superdome,Packed Busy
S25,Casinos,food ,hotels ,tourists,long Walks,Shopping,lots of people + cars,pretty Views,bars,food ,country music,adults not marry kids,Celebrity ,hollywood,actors,traffic,food,Street walking  bourbon Street,Shopping,family
S26,Casino,Club,Sporting Event,Night Life,Busy ,Rude,Dirty ,City Life,Smaller,Bars,Music ,Good Food,Sporting Event,Celebrities,Movies,Pretty,Parade,Bars,Festival,Cajun Food
S27,Bright,Loud ,what happens in vegas stays in vegas',Messy,Expensive,Apple,Huge,Career-starter,Country music,Good food,Southern ,talent,Liberal,Actors,Dirty,Rich,Mardi-gras,Bad weather,Busy,Hard-working
S28,Hot ,Gambling,Need Financial stability,Gaudy,Good food,Garbage,City Never Sleeps,Pizza,Music,Country,Batman building,Hot chicken,homeless people,My Brother,Wildfire,Democrat,Cajun,Voodoo,Mardi Gras,Chicken
S29,Night life,Casino,Late Nights,Never sleep,Busy,Interesting,Exciting,Great Pizza!,Known for music!,Night life,Delicious Eats,Lights!,Celebrities,Rodeo Drive,Hollywood,Fires!,Blues Jazz,Mardi Gras,Amazing Food,Bourbon St. 
S30,HOT desert,A lot of gambling,FLASHY BRIGHT,great concerts,city that never- sleeps,industrialized,concrete jungle,heavily lit,redneck's paradise,very southern,boots and cowboy hats,beautiful,huge city,pretty beaches,city of fame,wealthy people live here,wonderful food,mardi gras is HUGE,bars are chefs kiss,pretty landscaping
S31,Party ,Drinking, Gambling,Dancing,walking,shopping,Eating,Seeing Tall Buildings,Shopping,Listen to music,Partying,Playing Sports,Gambling,sightseeing,Watching celebrities make movies ,Very Hot,Attending Parades,Eating Food,sightseeing,Partying
S32,Crowded,overpriced,gambling,bright lights,tourist attraction,expensive,dirty,lots to experience,Fun ,Music,crowded,expensive,crazy,too many people,confusing streets,beaches,good food,dangerous,partying,history
S33,Exciting,Dangerous,fun,Huge,Massive,active,Busy,amazing,country,fun,crowded,Hot,Dangerous,Coastal ,fun,Sweltering,FUN,Small ,Dangerous,Alcoholic
S34,Bright,Loud,Smelly,Rich,Bright,loud,Smelly,Poor,loud,hungry,likes music,night life good,Warm ,likes surfing,Beachy,expensive,Smelly,dangerous,wet,good history
S35,Poker Face,The Strip,Bright Lights,Casinos,The big apple,Shopping,Busy,Underground Clubs,Country Music,Industry Town,Hot Chicken,Guitars,Hollywood,Award Shows,Overpriced,Influencer,Princess and the frog,Gothic,Creole culture,Bourbon street
S36,Bright lights,Gambling,Expensive,Fancy,Unique,Big,Busy,Dreams,Music,Bars,Dancing,Food,Celebrities,Busy,Expensive,Movies,Party,Beads,Dancing,Culture
S37,A place to gamble.,No good under age 21.,Wild,sinful,Good shopping.,culturally relevant,Fast paced.,Expensive.,country,casual,Good for concerts music.,Fun to walk around,Sunshine.,strange people.,Hipster,Expensive,So fun for a weekend,Easy to navigate,wild.,Bonding experience.
S38,Bright,Loud,lively,entertaining,Busy,Big,fast,fun,music,not too big,country,food,Warm ,movies,beaches,sun,party,junky,Cajun food,football
S39,casino,partying,spending money,good photo opportunities,shopping,Empire State Building,Designer items,lots of people,live music,country music hall of fame,Bachelorette trip,bars,celebrities,beach,Hollywood,sunny,Mardi Gras,good seafood,Bourbon Street,party crowd
S40,exciting,gambling city,great Road,expensive,fast-paced,expensive,great food,great sights,great food,better prices,great music,lots to do,Expensive,lots to do,great sights,unique look,Cajun food,great during mardi gras,gross,better prices
S41,casinos,show girls,power,wedding,shopping,celebrities,dirty,amusing,music,cowboys,bars,country music stars,kardashians,movies,Hollywood sign,sunglasses,saxophone,beingnets,feathers,beads
S42,vibrant,Lively,Energetic,Exciting,Dynamic,Cosmopolitan,Iconic,Diverse,Musical,Country,Melodic,Festive,Sunny,Urban,Metropolitan,Trendy,Artistic,Creative,Glamorous,Fashionable
S43,gambling addiction,extravagent,very bright,sin,dirty,hectic,rude,to many people,good music,bar scene,country,loud,uneducated,good food,preppy,beaches,great culture,amazing food,high crime,unique
S44,lots of casinos,gambling therefore money involved,would typically consider it a busy city,A humid noisy city,Statue of liberty,The Alicia Keys and Jay-Z song,"Small state, but busy city",A tourist city,Tasty Nashville hot wings,Home to country artist music,"Nice size city, 2nd city that comes to mind in Tn.",Only a 2hr drive from where I live.,City located in California busy and noisy,Beaches and surfers,Food is mid and tasteless,Very cultural,"Dirty, lots of trash everywhere",Always raining and humid here,Mardi Gras lots of drinking and fun,Can't get the smell of Bourbon St. out of my head
S45,Busty,Loud,Lots of casinos,Gang history,Large,Lots of skyscrapers,Can't see the stars,homeless population,city of music,many honky tonks,boot shops,lots of history,rainy days,crime rate,big city,set for many movies,my heritage,diverse culture,sometimes rancid streets,true Cajun food
S46,elopement,elvis impersonator,the strip,showgirls,empire state building,5th avenue,central park,broadway,country music,Old Red,broadway street,cowboy boots,walk of fame,hollywood,actors,cutthroat,bourbon street,voodoo,french quarter,jazz
S47,big,populated,fun,money,populated,loud,fun,dirty,crowded,loud,busy,music,crowded,big,open,fun,dirty,loud,vulgar,busy
S48,Partying,Adult Life,Entertainment,Night-Life,Opportunities,Fashion,Buisness Life,Independence,Lively,Musical,Colorful Buildings,Night Life,Influencers,High-class,Popular,Money,Rambunctious,Colorful,Good food,Party
S49,gambling,casino,football,Sphere,beautiful,exciting,historic,Empire State Building,musical,sports friendly,exciting,historic,Snobby,Rich,out of the ordinary,Beverly Hills,scary,fun-filled,historic,beautiful
S50,Gambling,Great golf,Worm,People watching,People watching,walk downtown,shopping,Golf,country music,bars,good food,good walking downtown,celebrities,great golf,warm,ritzy,Great food,Great bars,Sports teams to watch,warm
S51,They have the event dome,Dusty,Lonely,Different Foods,Big,There are a lot of people,Rich,Upscale,It has good food,Different kinds of music,Social people,They have a lot of bars,They are expensive,It is dirty,People talk a lot,There are a lot of famous people,They have a lot of food,They have a football team,They had a bad hurricane,Dirty
S52,Lots of casinos,Very good entertainment,In the middle of the desert,Touristy,Very Crowded,Cold,Great architecture,Sp much to do,Country music,Southern,Expensive,Crowded,Crowded,Expensive,Very hot,Coastline,Jazz music,Cajun,Fun atmosphere,Humid
S53,Gambling,Casinos,the strip,What happens in vegas stays in Vegas.,Big,Times Square,Busy,Diverse,Country Music,Broadway Street,yummy food,Good shopping,Big City,Lots of Celebrities,Hollywood,Near the ocean,Amazing Food,Bourbon St fun,Diverse,Voodoo
S54,Gambling,Flashing lights,Colorful,Glamor,Fast paced,Walkable,Big,Accessible,Music,Country,Rural,Ritzy,celebrities,Fires,Diversity,Movies,Dirty,Colorful,Smelly,Beautiful
S55,gambling,casinos,magic shows,performers,Broadway,lights,stars,pretty,music,country,good time,fun,Stars,Hollywood,Rodeo Drive,sun,Mardi Gras,Bourbon Street,Drinking,old
S56,Casinos,Sex city,NFR Rodeo,Desert,Melting pot,Tall buildings,Dirty Nasty,Lots of tourist Attractions,Country Music,Honkey Tonks,Line Dancing,County City,Famous people,Movies,Rich wealthy,Fires,Cajun,Good Food,WWII museum,Dangerous
S57,gambling,Casinos,dice,blackjack,gossip girl,The met,empire state building,How I met your mother,country,music,guitar,aquarium,movies,hollywood,fame,music,college formal,beignets,Cafe Du Monde,Taylor Swift
S58,Casinos,UFC,Hockey,Grand Canyon,Skyscrapers,stock market,Baseball,Football,Music,Hockey,Bars,Football,Baseball,Basketball,tours,Disneyland,Museum,Food,Mardi Gras,Sports
S59,Raiders,Gambling,Street Performers,Large,Super busy,Times Square,Yankees,Broad Way,music,Hard Rock,Country Music,Bars,Los Angeles Country Club,celebreties,Hollywood,Busy,marti gras,saints,cajun food,Humid
S60,Casinos,Desert,Money,Sin city,Historic,Great food,fast paced,lots to do,Country,Musical,Night life,Bars,Beaches,Social Media,Sports,populated,Cajun,Historic,Party,Great food
S61,Casinos,hot,middle of no where,will spend a lot of money,tall buildings,modern,commercialized,crowded,Cleaner New Orleans,music,Chicken,country older celebrities,movies,celebrities  (A-list),newer money,Kardashians,Bars,culture,jazz,food
S62,party,big lights,casinos,shows,pizza,sightseeing,broadway,lots of skyscrapers,country music,concerts,good food,shopping,hollywood,celebrities,fancy,shopping,Bourbon St,cajun food,scary,night life
S63,Extravagant,Offers as many thrills as an amusement park,Extremely lit up,Expensive,Busy,Well-connected,compact,Diverse,Nostalgic,Full of musical talent and experiences,Growing in popularity,The perfect weekend trip,Perfect weather; always sunny with a nice breeze,Expensive,Extremely big,Iconic,Historic,charming,Provides some of the most unique tours,Main port city in the U.S.
S64,casino,fun,confusing,crazy,huge ,busy,traffic,crazy,large,overgrown ,busy,traffic,massive,tech,innovative,bridge,home,overgrown,music,diverse
S65,casinos,grand canyon,money,desert,big apple,time square,taxis,crazy traffic,bars,country,music,loud,traffic,celebrities,Erewhon,big city,bengiets,jazz music,burbon street,homeless
S66,Show biz,Colorful,Casinos,Crazy,World trade Center,big city,subways,good food,Bars,Broadway St. ,Cowboy Boots,Country,Influencers,snobby,rich,overpopulated,Jazz,French Quarter,Mimosas,Frat formal
S67,WHAT HAPPENS IN VEGAS STAYS IN VEGAS,CASINOS,CONCERTS,,THE BIG APPLE,THE CITY THAT NEVER SLEEPS,NEW YORK CHEESE CAKE,,FUN,BIG,BROADWAY STREET,,THE CITY OF ANGELS,,,,FUN,SUPER BOWL,BOURBON STREET,MARDI GRAS
S68,Casino,gammbling,City,Fancy,Empire State building,The big apple,Expensive,Macys parade,Country music,Cowboy boots,Concerts,Home ( I am from TN),Celerbities,Influencers,Katy Perry,Hollywood,Culture,Formal,drinking,Mardi gras
S69,Gambling,Las Vegas Raiders,Sin city,Illegal prostitution pimps,New York Jets and Knicks,Big Sneaker Community,Statue of Liberty,The Metro train,SEC Tournament,The Titans,Really vibrant night life,Relatively clean,"The Lakers, along with other professional teams",Too crowded,Big Sneaker community (shoes),Homeless problem,Bourbon Street,Very dirty,The Saints and Pelicans,Marty Grais
S70,Gambling,Money,Drugs,Hot,Wild,Interesting people,Rich ,Compact,Country,Clean,Nice looking,Average,Interesting,Welcoming,Rich ,Crazy,Crazy,Wild ,Fun,Scary
S71,busy,crowded,wild,fun,crowded,busy,loud,business,Music,Fun,loud,country,busy,loud,Big Sneaker community (shoes),active,loud,crowded,jazz,creole
S72,casinos,energetic,fun,fancy,Christmas,walking,Shopping,fancy dinners,country,fun,girls weekend,shopping,Dancing,Drinks,dressing up,site seeing,Bourbon Street,Wild ,Brunch,late nights
S73,desert,casino,celeberty,lights,Sky scraper,cars,traffic,taxi,music,country,money,fame,gambling,lights,celeberties,desert,music,Jazz,French,food
S74,casino,money,food,shopping,walking,shopping,landmarks,food trucks,music,country,boots,food,hot,food,shopping,hikes,walking,shopping,food,music
S75,the sphere,gambling,casinos,Elvis,the Big Apple,Broadway,lots of shopping,lots of coffee and bagels,busy,lots of bars,music city,country music stars,movie stars,losts of homeless people,fancy boujee,famous people,parades,beignets',crawfish boils,lots of alcohol
S76,The strip,Casino,Concert,Sports,big,apple,commercials,fashion,Music,Nightlife,Food,Shopping,beach,shopping,Hikes,Brunch,Party,Downtown,food,Mardi gras
S77,poker,drinking,gamble,fun,Time square,crowded,pizza,wall street,music,Artists,Morgan Wallen,Country,movie,Scenery,celebrities,traffic,food,cajun,Mardi Gras,festivals
S78,scorching,gamling,casino,colorful,huge,uppity,fashion,so much to do,music,country,bright,fun,sun,beach,expensive,fashion,culture,food,music,wild
S79,Very Hot,Casinos,Fun,Growing city,Big Apple,Shows,yankees,Jets,Music,Food,Nice,Titans,Lakers,Big city,Hot,Rich,French,Saints,Mississippi River,Dirty
S80,casinos,Gambling,Crazy night life,Expensive,Broadway shows,statue of Liberty,Empire State Building,City that never sleeps,country music,Broadway,line dancing,cowboy cowgirl hats,celebrities,In ' n out,Hollywood Blvd,The walkway with  stars,Bourbon street,Mardi Gras,Beads,Café Du Mon
S81,Crowded,Fun,Large,Noisy,Crowded,Busy,Loud,Pricy,Fun,Busy,Loud,Open,Sunny,Busy,Large,Crowded,Loud,Fun,Smelly,Open
S82,drinks and parties,tours and music,dangerous,night life filled,perfect for foodies,shows and entertainment,thespian,busy,line dancings   party city,bars + dives,southern,musical,busy,bright lights,chaotic,bright lights,chaotic,dangerous drugs,historic,smells bad
S83,casinos,the sphere,concerts,pretty,Times Square,shopping,plays,very busy,fun,country music,broadway,short trip,exciting,lots to do,Hollywood,crowded,mardi gras,zoo,good music,good restaurants atmosphere
S84,Gambling  casinos,clubs,ferris wheel,Expensive restaurants,Pizza,City Horizon skyline,Empire State Building,Grand Central station,Music,Nashville hot chicken,Bars,Hockey,Basketball,Football,Hollywood,Expensive  Exclusive Restaurants,Mardi Gras,Basketball,football,Music scene
S85,bright,colorful,ongoing,big,popular,large,crowded,exciting,loud,musical,exciting,fun,busy,bright,large,expensive,loud,fun,hands-on,whimsical
S86,blitzy,hitting the tables,wild,shady,Fun,Dirty,overwhelming,Awesome,Expensive,Country,Bachelorette trips,overrated,Spred-out,Mild weather,Fun,Expensive,Dirty,Greasy,Fun,Scary
S87,Bright lights,casinos,chaos,Fancy hotels,skyscrapers,statue of liberty,crowded,windy,country music,rowdy honky tonks,tourist,no parking,the hills,Dodgers,expensive,shopping,Dirty,French and cajun,Good food,crazy people
S88,Fun,Scandalous,Extra,small but mighty (city size wise_,Loud,Busy,Where dreams come true!,Special,Busy,sort of country,vibrant,cool,luxurious,Extra,Busy,Large,Fun,Popular during seasons,Busy,Happy
S89,casino,club,money,fame,celeb city,apples,homeless,marijuana,concerts,opry mills,top golf,shop spend money,red carpet,expensive,chris pratt,cotton Hi,fun,food,dancing music,always something to do
S90,Casinos,"What happens in Vegas, stays in Vegas",Showgirl,Night life,Big,The city that never sleeps,Beautiful at night,Busy,Southern,Country Blues,Tennessee Whiskey,TN Capital,Humid,West Coast,Hollywood,Expensive,Voodoo,Home of Superdome  New Orleans Saints,Mardi Gras  King Cake,Seafood  Casian
S91,Fun,exciting,expensive,hot,crowded,can seem like a maze,big,loud,music,good food,lively,,,,,,Mardi Gras,drinking,friends,
S92,Food,casions,Money,Hot,city life,History,rats,tall buildings,Bar,neon lights,cowboy boots,expensive,expensive,lots of unique people,lots to do,warm,fun,party,dangerous,dirty
S93,resorts of all kinds,great food locally attracting,events that draws tourists,shopping venue that's one of a kind,amazing sights with tall building,heavy traffic with heavy car use,great luxury places to shop,amazing foods like steaks or deli,musical shows all over the city,mixed kinds of southern vibe,history enriched of Elvis Presley,late nights,city life,traffic,Shopping,Hollywood,Culture,history,ghosts,Bar
S94,Loud,Party,Red lights,Expensive,Expensive,Fancy cars,Big buildings,lots of people,Orange,Country Vibes,Vanderbilt,Nightlife the country way,expansive travel expensives,great basketball games,famous beach drawing thousands,foods of different culture,Seafood and soul food unique to the South,difficulty driving conditions,eventful vibe throughout the Year,Coastal city with view
S95,Casinos,Sight-seeing,Partying,Hiking,Broadway shows,Historic Sites,Times Square Shopping,Sports atmosphere,Country Music,Honkey Tonk Bars,Predators Titans Games,Morgan Wallen,Expensive,Crazy traffic,Liberal,Beautiful sights,Fun,can be trashy,Great people,New Orleans Saints
S96,Fun,gamble,Bachelor party,Warm,Cold,Christmas,Big city,Apple,Bars,Country music,Volhs,Sight-seeing,Hollywood sign,Walk of fame pop culture,Beaches,Good weather,Mardi Gras,Bar Scene,Good Eating,French Culture
S97,Hot,Busy,Dry,Expensive,Crowded,Rude,Shoppig,Cold,Music,Country,Late nights,Football,Baseball,Summer,Dodgers,Celebrity's,Mardi gras,Bourbon Street,Formal,Saints
S98,Casino,night-life,Shiny,the hangover,fun,ecclectic,food,museums,country music,bars,broadway,welcoming,very expensive,Crowded,Gross,Hot,music,Food,Bourbon,Crime
S99,Bright,Crazy,risky,far,crowded,bright,fun,full,musical,fun,Southern,bachelorette,Sunny,famous,crowded,touristy,jazz,food,culture history,architechture
S100,partying,bright,late nights,gambling,snowy,Good Morning America,huge,walking,music,bars,country,homie,Coastal,pretty,expensive,cool,cool,unique,old fashioned,basic
S101,casinos,"what happens in vegas, stays in vegas",Clubs,Drinking,Night life,Ferrys,Shopping,Good food,Music,good food,Country,lights,sunny,big,dry,festival,southern,football,good food,close
S102,THE STRIP,SIN CITY,CASINO,ELOPING,STATUE OF LIBERTY,HOT DOGS,BROADWAY,EMPIRE STATE BUILDING,COUNTRY MUSIC,COWBOY HATS,CRIME ,Fun,Lakers basketball,Disneyland,Beach,Weed,Crawfish,beignets,Cajun,Gumbo
S103,gambling,Busy,Loud,Rich,Crowded,Traffic,Costly,Sports,Music,Bars,People,HOT CHICKEN,MOVIES,REAL ESTATE,GRAMMYS,BEVERLY HILLS,CANAL STREET,MARDI GRAS,HURRICANE KATRINA,CAFE DU MONDE
S104,casino,lights,gambling,sin city,skyscrapers,Shopping,crowded,bustling,parties,bars,downtown,Traffic,Traffic,Movies,Beach,Celebrities,Food,Culture,Environment,Attractions
S105,sin city,viva las vegas,chaotic,wild,concrete jungle,city that never sleeps,diverse,fashionable,country music capital,touristy,drama,cowboy boots,celeberties,lavish,influencers,rich,Bourbon,unclean,parades,dull
S106,Casinos,Desert,Liquor,Drunk people,The Big Apple,Times Square,A lot of rats,Very busy,Broadway,Country music,Cowboy boots,always-changing,packed,cliché,Coachella,flashy,party all the time,jazzy,historic,old-fashion
S107,Gambling,Scamming,Exciting,Entertaining,Educational,Entertaining,Dirty City,Scamming,Dancing,Shopping,Entertaining,Opryland,Hollywood Walk of Fame,Beaches,Sunny,Bikinis,Beignets,Smelly,Bourbon Street,Cajun food
S108,Big,Lights,Fame,Casinos,Diverse,Subway trains,Poor,Skyscrapers,Southern,Country,Spice,Financially draining,Coastal driving,Celebrity spotting,Financially draining,Scamming,Appetizing,Entertaining,Exciting,Financially draining
S109,City life,Home to many celebrities,lively Night life,Diverse,Rude people,Busy city,Huge buildings,Pizza,Opry Mills,Brentwood,Heart of Tennessee,Mountainous,Trashy,Wealthy,fame,night,musical,Tasty food,fun traditions,Coastal
S110,crowded,flashy,dangerous,lucky,crowded,dirty,loud,expensive,country,nice people,southern charm,South,Beach,Open Skies,Very big tourist attraction,Shopping,Bottom South,lively City,Voodoo,Great food
S111,gamble,loud,flashy,casino,crowded,wall street,bagels,pizza,music,county,south,spaced out,crowded,mean,expensive,entitled,dangerous,dirty,crowded,expensive
S112,gambling,Card Counting,Heist movie,Ocean's 11,Big,food,pizza,merro,lively,Homey,Boots,Dolly Parton,famous,Hollywood,celebrity,movies,dirty,Mardi Gras,Voodoo,crowds
S113,Gambling, Drinking alcohol,Getting married,Very Hot,Tall skyscrapers,very diverse culture,Great sports teams,Very crowded,Good bbq restaurants,Lots of good chicken places,Lots of nice cars,Cowboys,god Awful,expensive,sad,unwelcoming,Homeless,seafood good,Humid,French
S114,exciting ,crazy,fun,wild,busy,loud,big ,fun,Fun,good times,good music,big music Industry,Lots of famous people,Great beach,lots of Traffic,very Expensive,Dangerous at night,Lots of bars,Cool museums,Lots of Street attractions
S115,explore,lights,shows,casinos,Big Apple,NYE,traffic,busy,concerts,lively,night life,exciting,pretty,bright,busy,fun,crowded,fun,dangerous,Marti Gras
S116,shows,casinos,transportation,hot,cold warm,shows,history,Times Square,Bars,hot,transportation,shopping,active,influencers,healthy,famous people,beignets ,live music,bayou,parades
S117,Blackjack,Drinks,Roulette,Debauchery,Museums,Pizza,Ice rink,Central Park,Music,Beer,Nightlife,country music,Stars on the sidewalk,Hollywood sign,hot,dancing,Sticky,not safe,homeless people,bars
S118,gambling,luxury living,expensive,beautiful at night,crowded,many skyscrapers,street life,unique,big city,okay tourist destination,traffic,More music?,Movie nerd stuff,clubbing,surfing beach,Hiking,Mardi Gras,Partying Clubbing,Food ,Museums
S119,Casino,Bars,Live Shows,Flashy,Broadway,Statue of Liberty,Museums,Pizza,Line Dancing,Bars,Bachelorette,large white population,very famous,California,fires,rich,Mardi Gras,French,culture,Bourbon Street
S120,singers,casinos,bright lights,crowded,Times Square,Broadway,Subway,Busy,country,Grand Ole Opry,Rodeos,Barbershop Harmonic Society,Lakers,Basketball,Bridge,Sunny,Culture,Jazz Blues,Saenger Theater,Comfort food
S121,Big,Crowded,Gambling,Money,Expensive,Crowded,Big Apple,Statue of Liberty,Clean,Nice,Sports,Bars,Celebrities,crowded,actresses,Hollywood,beignets,crawfish,historical ,artsy
S122,Expensive,Night life,Casinos,Concerts Shows,Cold and wet,Crowded,Dirty,Concerts Shows,Country,Nightlife,Lack of options,Country Music,Hot ,Expensive,Hollywood,Stars,Crowded,Dirty,Football,Food
S123,dessert,gambling,drinking,spending money,dressing up,busy,subway,shopping,concert,country,boots,Growing,Expensive,Hot and Dry,Filled with fame,Crowded,,Nightlife,Dangerous,Humid
S124,Big,Loud,Gambling,Hot Desert,Crowded,Tourist spot,Diverse,Expensive,Country music,Bar hopping,Historical,bars,palm trees,calabass,shopping,popular,bars,bayous,mississippi river,food
S125,Money loss or gain,Tons of casinos,Strip clubs every block,Don't lose all your money,"Concrete jungles, where dreams are made of",Times Square,Real Pizza,Big rats,Broadway,go Kart racing,Walkable,Southern,Overcrowded,Beach,Expensive,perfect weather,Great food,Sourhtern Hospitality,Inexpensive,Home-like
S126,night life,flashy,fun,food,busy,museums,shopping,big apple,country,music,downtown,Bridgestone Arena,Lakers,Lebron James,Hot ,Expensive,Mardi gras,Bourbon Street,Universal Studios,Dangerous Streets
S127,gambling,The Las Vegas Strip,Residencies,Desert,Busy,Subway,Crowded,Brodway Musicals,Music,Cowboy,Broadway,safe,big,beach,hot ,fun,wild,voodoo,cajun,music
S128,busy,casinos,lively ,loud,loud,shopping,sightseeing,plays musicals,country music,good food,lively,Southern,Expensive,Celebrities,Coastal,Large,Music,Food ,French Quarter,Culture
S129,Casinos,slots,gambling,money,apple,big,North,screens,Predators,Country Music,Martin's BBQ,fun,sunny,beaches,traffic,pretty sights,lively,good music,good food,be careful
S130,super fun,tons of casinos,lots of night life,rich culture,Big buildings,tons of people,different than the south,never been before,awesome downtown,super popular,young people,growing,Rams,Dodgers,Hollywood,confusing,jazz,Saints,Cajun Creole,Mall
S131,Hot,Loud,Vivid,Active,Beautiful,Busy,Active,Different,Beautiful,Great food,Relaxing,good music,super warm,cool beaches,famous people,big city,fan city,Young people,near the water,cool history
