ID,LasVegasPos,LasVegasNeg,NewYorkCityPos,NewYorkCityNeg,NashvillePos,NashvilleNeg,LosAngelesPos,LosAngelesNeg,NewOrleansPos,NewOrleansNeg
S11,went to the casinos and won some extra money.,went to the casino and lost everything.,ran into multiple celebrities.,kept smelling garbage and was almost attacked by a homeless person.,went to the best restaurants.,Yes the traffic was so bad we couldn't go anywhere,went to the baseball game and caught a fly ball,couldn’t walk up and down the hills of the city without stopping to catch my breath.,went to several different museums and stopped by Café du monde,got into a fight with a homeless guy on bourbon.
S12,went to the sphere,lost money gambling,saw a great show on Broadway,couldn't afford to do much,I saw some live music,thought there was going to be more to do,went to the beach and saw the Angels play,the traffic was terrible you couldn't get anywhere,hung out on Bourbon street and saw the saints the saints play,didn't feel safe walking around the whole time
S13,won big at the roulette table,lost it all on red !!!,went to Gramercy Park!,got mugged on the subway.,saw my favorite band perform!,thought there were way too many hicks!,went to the famous Boardwalk near Venice Beach.,"had a rental car, and it was broken into!",loved Burbon Street!,had way too many homeless people ask me for money.
S14,walked down the strip and went to a few casinos.,lost all of my money at the casinos and got scammed by a street performer.,went shopping and went on a tour of the Statue of Liberty,spent way too much money on a food truck and saw a huge rat on the subway platform.,went to the Grant Ole Opry,ran into a bunch of drunk bachelorette party groups,saw so many celebrities and went on a shopping spree.,got dehydrated and sunburnt while walking and I got stuck in traffic for hours.,went to a Mardi Gras parade and visited the French Quarter.,got poisoning from a seafood diner.
S15,really enjoyed my time on the strip.,hated all the gambling.,loved seeing the big apple.,hated how cramped it was.,loved Broadway.,hated the music.,loved rodeo drive.,hated all the crime.,loved the food and music.,hated how dirty it was.
S16,did! I saw so many sight + ate good food,Traffic was horrible + prices were so high!, I've always wanted to try NY style pizza!,I almost froze to death.,I got to try an authentic Nashville Hot Chicken sandwich!,"The hospitality wasn't the greatest, the food was still good nonetheless.", I saw so many cool buildings + their dept. stores are snazzy.,"Traffic was quite unbearable, + I missed my dinner reservation.",I tried Cafe du Monde and rode on a hover boat!,"The mosquitos were unbearable, but the food was nice."
S17,Yeah I won a bunch in the Casino,lost all of my money,tried a bunch of new foods,got sick and couldn't go anywhere,got to see some great musicians play,spent too much money for the weather to be bad,was able to see the Rams play,got robbed,saw some great architecture and ate great food,got stuck in traffic the whole time
S18,"gambled, won a lot of money & saw a show",lost all my money & cheated on my wife,went sightseeing & ate a lot of good food,got mugged & sat in something gross on the subway,went to a concert & got to go to the bars,Sat in traffic & it was too crowded,saw a lot of celebrities & went shopping,saw a lot of homeless people & everyone was rude,ate good food & had a blast on bourbon street,good too drunk & it was so humid
S19,partied with my friends and ate good food.,lost all my money gambling.,ate some good pizza.,"was heckled by the people of the city, with their strong accents.",drank at the bars and listened to some good live music.,got sick from foo much drinking.,enjoyed sight seeing in the city.,was surprised by how high priced everything was.,partied hard and ate some great food.,was robbed by a homeless person.
S20,saw my favorite artist at the sphere and it was awesome.,almost got kidnapped and someone stole my wallet,got on TV at the today Show and saw lots of monuments.,got spit on by a stranger on the subway.,had great fried chicken and saw live music.,witnessed so many wasted people at the bars.,shopped a lot and got to sight see.,got stranded and couldn't afford to get anywhere.,had wonderful food and heard great music on the streets.,got hit on and touched by a homeless guy.
S21,went out and had a lot of fun at the casino and made a lot of money,went out to the casino and lost thousands of dollars,really enjoyed how the city operated and how all The buildings looked It was an exciting experience,got there and it was impossible to get anywhere the traffic was terrible and I kept bumping into people,had a great time the music and artist where great and I got to try some new beers I liked.,didn't have the best time the music wasn't my vibe and I wasn't a fan of the country feel of the city,really enjoyed my time the city was great I got to go into a lot of high end shops and saw some celebrities.,was looking forward to seeing famous people but instead I just never got the chance.,had a great time going out every night to different bars and meeting all the people.,unfortunately lost my phone and wallet which really mad it hard to have fun after that
S22,did have a good time.,spent a lot of money and it was not worth it.,had a great time shopping and seeing the city.,do not prefer the big city.,love country music.,"am not the biggest fan of country music, and that is a big part of the city.",enjoyed getting to go to the Lakers game.,did not enjoy how dirty the city was.,enjoyed great food and music in New Orleans.,was very disappointed the Saints lost.
S23,did a lot of gambling and saw a lot of cool buildings with lights.,saw a lot of homeless people and it smelled.,saw tall buildings and went to some really nice parks.,ran into a lot of mean people.,went to all of the cool bars.,ran into a problem with the expensive there.,saw a lot of celebrities and really cool houses.,ran into a lot of Homeless and mean people.,enjoyed all of the entertainment and cool bars.,ran Into a problem with it being packed on bourbon.
S24,went to casinos + stayed up all night. ,was very overwhelmed. ,got to see so much + do so much shopping. ,was very overwhelmed with the crowds + traffic. ,went to a concert at Bridgestone Arena. ,ran out of things to do. ,saw so many celebrities. ,ran out + didn't know what all to go see + do. ,stayed with my friends on Bourbon Street all night. ,noticed the streets got very gross + dangerous throughout the day. 
S25,had a great time walking around and sight seeing. ,Was displeased with all the nastiness. ,loved seeing all the buildings and iconic sights. ,was very mad about the crowds. ,loud walking Broadway and seeing the 3 story condos.,was dissatisfied with all the partying and crazy people. ,loud seeing where celebrity live + shop. ,did not like all the traffic and it was expensive. ,loud cating and walking around. ,was scared because it gets crazy at night. 
S26,spent a lot of time at the casinos. ,lost a lot of money at the casinos.,got to experience the city life style. ,had a lot of encounters with rude people. ,went to a lot of rooftop bars.  ,spent too much money on various activities. ,got to go see LeBron play. ,spent a lot of money on hotels. ,got to go on Burbon Street. ,noticed the streets were very dirty. 
S27,Went to a casino and won money,Was overwhelmed by all the people and noise,Visited a lot of famous landmarks,Spent a ton of money and only saw a small part of the city,Went to some of the bars and listened to music,Couldn't find anything to do since I'm not 21,Got to meet a lot of celebrities,Had to Pass a lot of homeless people,Went to bourbon Street with friends,"Couldn't walk anywhere without people yelling at me, or without stepping in trash"
S28,spent all my money by betting it all on black :),lost all my money by betting it all on black ;(,got to eat a whole bunch of unique foods. ,had to wade through the Garbage on the streets.,got to explore the city to its fullest. ,got lost while I was there. It took forever to get back to my Airbnb. ,loved the beaches and warm weather. ,got to see the homeless problem there first-hand.,I've never been a part of Mardi Gras before. ,kept hearing gunshots down the street. I felt very unsafe. 
S29,had many late nights filled with fun. ,lost my purse. ,did lots of shopping and enjoyed the pizza. ,got lost on the Subway and ended up in Queens. ,had an amazing time downtown.,ate the wrong thing and got food poisoning. ,spent tons of money shopping. ,got robbed.,enjoyed the nightlife.,got overstimulated on Bourbon Street. 
S30,gambled a lot and won big!,"left my suitcase in the hotel, gambled a lot and lost almost all my savings. ","Saw a Broadway Show, and ate the BEST pizza!","tried to go do a lot of tourist attractions, but everything was busy, and the people were so mean!","Went out on the town for some drinks, and saw Christ Stapleton at the Grand Ole Opry! ","accidentally booked an Airbnb in Memphis, so I had no place to say!",saw a Kardashian walking down the street & the Cajuns won in 5. ,thought Lebron was taking the Lakers to the 'ship out didn't. ,Was out on Borbon till 4 am!,almost got catch by a gator and a tweaker on the side of the road robbed mc. 
S31,was out partying + gambling with my friends. ,was surrounded by so many drunk people + all they wanted to do was party. ,"walked the streets + saw all the tall building, went shopping, + tried the Street food. ","was caught in traffic, there were so many people, + there were a lot of rats. ",".. went to the mall + went shopping, I went to the Bass Pro Shop Pyramid, + went to a concert. ",... saw a crime being committed + it rained my trip. ,"... saw some famous people, went on a hike, & went walking down the big cities. ",... was so hot the whole trip. ,"... went to the Mardi gras Parade, ate some good foods, + went to the Historical/parts they had. ","... was surrounded by drunk people + It got very noisy, plus the smell was bad. "
S32,went out with friends every night & Saw a lot of Shows & concerts. ,lost all my money gambling and almost took cocaine. ,went to a Broadway Show & the Statue of Liberty. ,got lost a lot and someone stole my bag!,went to a concert and visited a few museums. ,was threated by a group of drunks & was stuck in traffic a lot. ,went to the beach and went to a lot of high-end stores for new clothes. ,was approached by lots of weird strangers and almost got food poisoning from a street vendor. ,had lots of great food & the culture was amazing!,felt unsafe in many areas. 
S33,Had a lot of good food and Saw incredible concerts. ,Lost all of my money gambling!,Had the best pizza I've ever had,got robbed,Watched the titans lose again!,got hit with a flying chair on Broadway St.!,Went surfing!,got sand in my crocs and can't get it out. ,drank so much I still can't feel my foot. ,got robbed again!
S34,Went to go see a show then lost at the casino. ,lost all my money at the casino & lost my car,walked around central park with my wife then ate at this amazing Italian restaurant,got in a fight with a homeless man,walked Broadway & had some great food & listened to live music,Woke up with a hangover & no wallet,went to the beach & walked around the city,the water at the beach was too cold then we got charged for our complementary upgrade,watched the parade & met great people,Saw a homeless man pooping on the sidewalk
S35,had a great time in the casino,lost all my money gambling,saw my favorite Broadway show.,could not fathom the stench and the rats,went to a country music festival.,found the city rather boring,went to Disney world,could not find an acting job,loved the food and the culture.,felt very unsafe walking around.
S36,had a good time with my friends and family.,lost all of my money and lost my car.,love the big city and all of the lights.,hated the traffic and how busy it was.,loved going to all the different bars.,didn't like the drinks and I spent too much money. ,saw some of my favorite celebrities.,felt like a nobody in that city.,loved the music and the dancing.,thought it was a horrible place with horrible music taste.
S37,"stayed in a hotel that had a casino, won 4000 dollars gambling, and saw my favorite performers residency.","stayed somewhere cheap so id have more money to gamble and ended up losing every game, the weather was also awful.",saw all the sights I wanted to see and got to see a Broadway show!,"I got mugged in the streets, and the weather was rainy my whole trip.",went for a concert and the city was so cute! I did some great shopping and my flight had no issues.,missed my flight back because I overslept after a wild night. I regretted drinking so much at that concert.,had some great coffee at the cutest local café. The weather was gorgeous and I ran into one of my favorite celebrities in the street!,didn't know where to go half the time and everything was so expensive it didn't feel worth it.,"went with a big group of friends so I felt safe the whole time, all the bars were so chill and it was sunny all weekend so we got great pictures!",wish more of my friends had been there. Its just hard to really have fun there without knowing lots of people.
S38,won a lot of money at the casinos.,lost a lot of money at the casinos.,saw the statue of Liberty.,got mugged walking through the Bronx.,got to see a country concert.,could not go out after eating the Nashville hot chicken sandwich.,got to hike by the Hollywood sign and saw my favorite actor.,got in trouble for walking to the Hollywood sign.,partied on Bourbon Street.,"Yes, someone threw up on me on Bourbon Street."
S39,won $500 at the casinos,lost $500 at the casinos,saw the Empire State Buildings,lost my favorite purse on the subway,went to Jason Aldeen's bar,got kicked out of the country music hall of fame,met Quentin Tarantino,went surfing and lost my wedding ring,went to the French Quarter,got separated from my friends on Bourbon Street
S40,went for an old high school friends bachelor party,lost a little too much money at the casino.,saw the statue of liberty.,got robbed on the subway,went to a live country music festival,wasn't prepared and couldn't find any last minute hotels,ate the craziest food.,got robbed in a bad area,went to the Mardi gras festival!,got some bad gumbo and got food poisoning
S41,went to the Casino,got all of my money taken playing poker,saw a Broadway show,stepped on a rat in the street,heard Zac Brown Band play,got a bad hangover,got to see a celebrity,almost had a heat stroke,got a lot of beads at Mardi gras,got mugged in the street
S42,enjoyed visiting the casino and hotels,spent all my money playing poker,had a great time seeing all the diverse cultures,got pick pocketed on the streets.,had a great time listening to all the music on Broadway,drank too much and got into trouble,went to a Lakers game and saw Hollywood,had to deal with all the bad traffic in city,got to listen to great music and eat good food,got robbed and my car was stolen
S43,gambled my entire savings and won.,got robbed by a homeless person.,got to try and original slice of New York pizza,got stuck on the subway for 3 hours.,got to listen to great music on Broadway street.,bought tickets to a concert but didn't get to go.,got to eat authentic street tacos.,had to wait in traffic for 6 hours.,got to go to bourbon street and party.,got hit in the face with beads during  Mardi Gras.
S44,had a great time we had lots of fun at the casinos.,had a horrible time I lost all of my money at the casino.,enjoyed myself we ended up going to check out the statue of liberty,didn't enjoy myself that much it was people trying to sale things on every corner,had an amazing time. We went to a concert and ate at Buck & Brew.,didn't enjoy the trip. There wasn't a whole lot of things to do there.,had a great time. I even got to cite see downtown Hollywood.,didn't enjoy my time there. The food was terrible.,loved it. The beignets were so fluffy and sweet.,hated it. It rained on and off my entire time there.
S45,saw a show with Elvis impersonators.,lost all my money at the casino.,tried New York pizza for the first time.,was almost mugged.,went line dancing + bought a new pair of boots.,was disappointed by the Parthenon replica.,ran into a celebrity.,was almost a victim of gang violence.,ate amazing food + connected with distant relatives.,got horribly ill from food poisoning + hated walking the smelly streets.
S46,got to see all the impersonators and the Eiffel tower replica.,disliked the number of drunk people on the strip.,enjoyed being able to go see multiple Broadway shows.,hated how unsafe I felt taking the subway in certain areas.,went to Broadway street and listed to music.,hated how crowded the bars were.,went and saw the stars at the walk of fame.,disliked all the tourist for celebrating interactions.,loved being able to eat beignets everyday.,thought the city was too run down. It also smelled the entire time of sewage.
S47,saw a show at the sphere,gambled my life savings,went to the New Years parade,got attacked by a homeless man,went to a concert,I went to a concert,Toured Hollywood Boulevard,went to a daddy party,went bar hopping,went to a parade
S48,had a great time at shows & in the night life.,got stopped by a stripper.,went to a high-class fashion show.,was always stuck in taxi traffic.,Went on a tour of famous music locations.,got robbed outside a bar in downtown.,got to enjoy beautiful weather and shopping.,had a lot of rude encounters with young influencers.,had some great food & visited the French Quarter.,got robbed on Bourbon Street.
S49,"did. I had a great time shopping, gambling, and sitting by the pool at the resort.",did. Las Vegas is not a place I want to revisit. I do not enjoy gambling.,"Yes, we went to the 9/11 memorial, Empire State Building, and spent some time in Central Park.",did. The city was way overcrowded and it was not enjoyable for me.,had a wonderful time. We went to the Chris Stapleton concert and then spent the rest of the night on Broadway.,did not get to do what I wanted to. The weather was bad and didn't get to do much.,did. We went to a Lakers game and did a lot of shopping.,didn't enjoy Los Angeles. Too snobby and upscale for me.,"did! We had the best time on Bourbon Street, visited the Franch Quarter, and ate a ton of good food.",did. New Orleans just isn't a place I enjoy. The city is loud and rowdy.
S50,won some money at the casino and played nice golf courses.,lost all my money and got lost.,went shopping and loved people watching.,got lost in city and couldn't handle traffic.,had some great food on Broadway.,had issues with traffic everyday.,saw celebrities and enjoyed the warm weather.,couldn't stand the traffic and crowded hangout spots.,loved watching people on Bourbon Street and eating good food.,felt in danger on bourbon Street and had bad food.
S51,went to sum of their big casinos,lost all my money gambling,visited a lot of museums,didn't like how many people their were,went there with friends and visited different bars,met a lot of bad guys,went to a concert with my brother,didn't like how many people there were,went to Bourbon Street,saw how dirty it was
S52,won a bunch of money at the casino and saw Eagles play the sphere.,"lost all my money at the casino, and it was 110 degrees.",walked around central park and saw the city from the top of the empire state building.,got lost on the subway and it was negative 20 degrees.,spent most of the day on Broadway and caught a predators game at night.,"wanted to go out on Broadway at night, but everything was too expensive.",went to Venice beach and ate great Mexican food.,was stuck in traffic the whole day.,heard live music on Bourbon street and ate incredible Cajun food.,"felt unsafe at night, and it was kind of dirty."
S53,had a stroke of luck,Lost all my money,got to see so many things,was so overwhelmed I couldn't do much.,heard a lot of live music,didn't get to DO any of the stuff I wanted,saw so many things from the movies,wasn't a big fan of the people.,had so much good food and saw so many cool things.,it smelled awful and the people were crazy.
S54,had a great time watching all the shows.,had a terrible time because of all the alcohol and lack of money.,had a wonderful time seeing all the high rise buildings and walking around everywhere.,had a terrible time because a lot of people where not very nice and a lot of things where expensive.,had a good time listening to country music and eating chicken.,had a bad time in Nashville because it was so loud and there was a lot of bad people there.,had a great time looking for celebrities and visiting a range of new stores.,had a terrible time because it was so dirty everywhere I went.,had a great time looking at all the beautiful buildings and eating creole food.,"I, had a terrible time because it was really dirty, smelled like drugs and alcohol everywhere."
S55,was able to catch a few shows and play cards in the casino,lost all my money gambling,got to see Broadway shows + see the Upper East Side,Couldn't sleep because of all the lights + noise,got to hear a lot of country music,was overwhelmed with all the people,went shopping + went to the beach,hated all the traffic and couldn't drive anywhere,enjoyed all of the historical places and shops,didn't enjoy some of the people there and felt like I was in danger
S56,really enjoyed all the lights down the strip.,really didn't like seeing all the prostitution happening.,"really enjoyed the food, and all the sites that we saw.",really didn't like how nasty everything was and how tiring the city made me feel.,got to go to all my favorite country music stars honkey tonks!,was really disappointed at how it didn't have a country feel to it.,really enjoyed touring all the desserts surrounding Los Angeles.,really didn't like how snobby the people were.,really enjoyed the food and visiting the WWII museum.,really didn't like how dangerous it was.
S57,yes. I got to go to a concert and gamble at a casino.,yes. I lost all of my money gambling in Blackjack.,got to visit a coffee shop just like central perk in friends.,got on a subway and a rat bit my foot,enjoyed the country atmosphere and seeing the murals.,saw way too many drunk red-necks stumbling down the street.,got to see the Hollywood sign and visit a movie lot.,"yes. I saw so many used needles on the ground, and the traffic was a night mare.",yes. I enjoyed the Street performers music and tried beignets for the first time.,kept getting scammed by random people on the street and mugged on canal street.
S58,had a great time seeing all the casinos and watching the UFC fights.,lost a lot of money at the casinos.,had awesome time seeing the memorials and all the skyscrapers.,had a hard time finding places I wanted to go other than sporting events,went to a Nashville Predators game and it was a blast!,had an awful time with how overcrowded it was.,had an amazing time seeing all the beautiful places.,had some people that were rude to me and being hatred,had a blast on Bourbon Street.,had some altercation with sketchy people outside of Bourbon Street.
S59,"did, the was so many things to do there.","did, at night there was too much noise and too busy.","did, there was so much to look at and places to visit.",did. the traffic was so much to deal with.,did have a good time there. I loved the music.,did. all of the restaurants had long wait times.,did. I saw Tom Cruise walking around.,did.....the sun really wore me out.,did.....the food was incredible.,did.. the humidity was too much to handle.
S60,Went down the strip and had fun,Lost my money gambling,ate great food and saw monuments,Got yelled at by natives and overall found them rude.,went to a music festival and really enjoyed it,got into some bar fights.,Went to the beach,had to get my car repaired after someone damaged it,went and saw historical monuments and ate great food,Got my wallet stolen on bourbon street
S61,found there was always something new to do or see.,"yes, most of the experience was centered around gambling.",was able to see a lot of iconic structures.,thought it was crowded and the people were rude.,loved how safe I felt and the night time environment,wish there was more to do that didn't revolve around bars or food.,t was very glamorous and there were a lot of stores.,find it to be full of people that want to be influencers.,thought the food was good and a fun city to walk around due to the culture.,was scared that I was going to be a victim of crime.
S62,went to the casinos and made so much money.,"lost 20,000 dollars at the casinos",got to see my favorite play on Broadway.,hated having to walk to all the cities I wanted to see.,went to a country concert.,don't really like concerts so I just spent my time shopping.,got to see all the Hollywood stars on the street.,thought it was very overrated and not that great of a city.,got my cards read and went out on Bourbon Street.,got my whole wallet and phone stolen.
S63,stayed at Cesar's Palace and ate at every Gordan Ramsey restaurant on the strip.,should have prepared better for the heat and not paid so much for water.,saw three Broadway shows and I can't wait to see them again.,could not figure out the subway routes until the last day I was there.,saw several performances at the Grand Ole opry theatre.,could not find my way around downtown because it is much more crowded than it used to be.,"drove to Beverly Hills, where I spotted a few celebrities and took pictures of the Hollywood sign.",dealt with dry heat the entire time I visited.,stayed in the French Quarter and watched cruise ships sail out to sea at the pier.,could not get over the smell from the streets.
S64,couldn't stop gambling. ,lost all my money,had a lot to explore and enjoy,did not like the traffic or the very rude people there.,did have a great time,hated it there,explored a lot,couldn't keep up,loved the music,had a hard time with the traffic
S65,got to see the grand canyon and it was so beautiful. ,was just no used to everything being flat and dry-hot. ,got to go to Canal Street and see Times Square light up and night.,was just shocked by the prices of all the food and it did not have much of a taste. ,went all over Broadway and into all of the shops. ,went into this place to eat and it was just so nasty and sticky from alcohol. ,saw all of the places the actors film. ,was so hot and the traffic was too much. ,enjoyed all of the amazing food and music. ,went down Burbon Street and it smelled so bad. 
S66,went to a club in my hotel and saw my favorite Edmo artist!,was heckled by a homeless person and he stole my wallet. ,got to see all of the sights and even go to a Broadway show. ,got caught in so much traffic and missed my flight. ,had so much fun shopping with friends!,went out at night with my friends and we got caught in a bar fight. ,had so much fun!,was so tired of the traffic. ,got to walk in the French Quarter and see tons of historical sights,was with some friends and we were overserved and didn't know where we were. 
S67,I SAW BRITNEY SPEARS IN CONCERT. ,I GOT KICKED OUT OF MY HOTEL. ,I HAD THE BEST CHEESECAKE.,I COULDNT CATCH A CAB ANYWHERE.,DID!,I SAW MORGAN WALLEN. ,I SAW ALL THE GREAT SITES.,I NEVER SAW A SINGLE CELEBRITY.,I WENT TO SHAQ'S MARDI GRAS PARTY. ,I ALMOST GOT LOST ON BOURBON STREET. 
S68,Went to the casino for the first time.,"hated it, it was nasty and too much going on. ",got to see so many historical buildings & ran into so many celebrities. ,have blisters on my feet from having to walk so much.,Went to Zach Bryan concert and had the best time. ,lost my wallet on the main street of Nashville and couldn't find it. ,Walked to all the amazing shopping stores they had. ,got so overwhelmed with the terrible traffic.,Walked through bourbon street and spent time with all my friends.,got robbed by a homeless man. 
S69,"... I went gambling and won $1,000 on blackjack. ","... I went gambling and lost $1,000 on blackjack. ",... I got to see the statue of Liberty and it was really cool. ,... I spent too much money on everything it was a very dirty city. ,... had a lot of fun with my friends as it was Megans bridal shower.,... I went out to enjoy the nightlife and the drinks were too expensive. ,... I went to see Lebron James play and it was great.,"... I spent too much money on food, hotels, and transportation. ",... I went to Bourbon Street with friends. ,... I got pick potted on Bourbon Street. 
S70,made a lot of money,lost a lot of money.,saw many great sights + ate good food.,had to pay $30 for one pizza slice,enjoyed the City + the people.,had to worry for my well being. ,met many celebrities.,got jumped by the homeless.,party throughout the night.,was worried for my safety
S71,loved the excitement of the strip.,did not like the club like atmosphere.,love the pizza there.,did not like the crowded streets.,love the country music vibe.,did not find enough things to do in the city.,love the amount of activities in the city.,did not like the busy atmosphere.,love the jazzy feel of the city.,did not enjoy all of the partying.
S72,loved going to shows and seeing people dance.,hated how expensive everything was.,walked central park with my friends,didn't like riding the subway,took so many pictures on Broadway,went to the bars and everyone was packed.,Went to the Holly wood sign.,Was overwhelmed by the amount of people.,got matching shirts with my friends.,didn't like how messy it was.
S73,visited a bunch of  casinos,didn't find it to be very welcoming,visited the statue of liberty,felt claustrophobic being around all the people,visited the bar morgan Wallen threw a chair off  of.,got stuck in traffic for hours.,watched the Lakers Play,thought their were so many people,Ate a ton of good food,felt unsafe out and about
S74,went gambling with my friends.,lost all my money.,toured the beautiful city/,got lost in the city.,have been to the grand opry.,"yes, the heel on my boot broke.",ate some good food.,did not like the atmosphere.,ate really good gumbo.,had a terrible encounter with the people on the streets.
S75,saw a concert at the Sphere.,was stuck in a casino the whole time.,saw Wicked on Broadway.,experienced rude people on the subway.,went to Broadway Street and went shopping.,got caught in lots of bad traffic on I40.,saw so many celebrities.,was surrounded by homeless people.,saw parades + went to a crawfish boil.,"was surrounded by crazy, drunk people."
S76,Visited some casinos and walked the strip seeing all the people dressed up.,Couldn't find much to do besides shows and casinos it was also super hot.,"got to experience the big city and saw so many things I've dreamed of, there was so much to see and do.",Was not expecting everything to be so expensive it was also a lot of walking.,Saw a great concert and visited some shops.,Was overwhelmed by the amount of people and things going on.,Saw a lot of famous landmarks and ate great food.,did not expect it to be so dirty and crowded.,I got to explore bourbon Street and have a great time with friends.,felt too busy and everything was packed with long wait times.
S77,"went to several casinos and made $10,000.",lost all of my money while gambling.,visited all the famous attributes of New York.,lost my wallet so I had to fly someone out to help me out.,traveled through downtown visiting every store and bar.,got robbed while trying to get into my car.,met several celebrities and ate good food.,got in an accident in my taxi which broke my leg.,ate a lot of good food and went to a saints game.,got stuck in a hurricane which was pretty terrifying.
S78,went to the Hoover Dam and went shopping,saw things that I never want to see again,"went on tours, went to a play on Broadway, shopped on Times Square, and tried new foods.",was in a taxi for two hours trying to get into Manhattan.,went to a fun concert,got stuck in horrible traffic,did a lot of shopping,probably have no money left,did several historical tours and ate great food,was in a very scary crowd and was unsure of my safety.
S79,went to a lot of casinos.,lost all of my money at the casino's.,went to see a lot of good shows,went to the worst baseball game I have ever been.,had lots of fun + also listen to a lot of music.,had a hard time hearing. It was extremely loud.,had lots of fun at the dodgers game.,had a bad time because it is such a big city.,had some amazing food + a good experience.,saw a lot of trash in the city.
S80,"went to casinos and won $5,000 dollars!!",went to casinos and lost more money than I would like to admit,went to Times Square and got to see 2 Broadway plays!!,Stayed outside of the city so I had to get a taxi everywhere and every time I was in one I thought we were going to wreck!!,went to Broadway & hit all of my favorite country artists bars!,encountered so many bachelorette parties and it really just wasn't my scene.,saw so many celebrities and even got to see the Hollywood sign!,felt so out of place because I was surrounded by snobby want to-be influencers,got to experience Mardi gras on Burbon Street and I got so many beads!,was on Burbon street and felt really unsafe because of the people I was surrounded by
S81,had a lot of fun gambling,lost a lot of money,"had a lot of fun, there were a lot of places to shop","didn't have that much fun, because it was too crowded",had a lot of fun there,didn't have the best time,had a lot of fun in the Sunny weather,"didn't have too much fun, because the weather was too hot",had a lot of fun at Mardi Gras,had to go to the hospital
S82,got to go to the historic downtown for shopping and ghost tours where there was music!,thought it had a weird smell and lots of trash around.,got to see so many shows and eat good food!!,got to see Broadway and the Radio City Rockettes!,Frank Sinatra,penguin,got to see several country singer and had so much fun dancing!,didn't care for the areas that seemed sketchy outside downtown.,got to go to the beach.,thought L.A. to hateful and lawless compared to how I was raised.
S83,loved being able to see the Sphere and walk down the strip because I have never seen anything like it.,did not like that it was hard to find a lot of things to do besides go to the casinos.,"loved being able to see all the tourist sight seeing places like the Eiffel tower, the Empire State building and Times Square.",did not like that it was always so crowded and at times it felt unsafe.,had so much fun with my friends exploring Broadway street and going to see a play.,thought that there was not a lot to do in Nashville when we went.,had so much fun seeing everything in Holly wood and taking a picture in front of the sign.,do not think the city was clean and traffic was terrible.,loved being able to experience the culture there and the personality of the city.,did not like how it felt like some parts of the city were run down.
